Run_accession	Sub-lineage	Country_or_Province	SetPart
ERR227996	2.2	Russia	East_Europe
ERR227999	2.2	Russia	East_Europe
ERR228002	2.2	Russia	East_Europe
ERR228004	2.2	Russia	East_Europe
ERR228006	2.2	Russia	East_Europe
ERR228007	2.2	Russia	East_Europe
ERR228010	2.2	Russia	East_Europe
ERR228012	2.2	Russia	East_Europe
ERR228013	2.2	Russia	East_Europe
ERR228015	2.2	Russia	East_Europe
ERR228017	2.2	Russia	East_Europe
ERR228018	2.2	Russia	East_Europe
ERR228019	2.2	Russia	East_Europe
ERR228024	2.2	Russia	East_Europe
ERR228028	2.2	Russia	East_Europe
ERR228029	2.2	Russia	East_Europe
ERR228032	2.2	Russia	East_Europe
ERR228039	2.2	Russia	East_Europe
ERR228040	2.2	Russia	East_Europe
ERR228043	2.2	Russia	East_Europe
ERR228046	2.2	Russia	East_Europe
ERR228048	2.2	Russia	East_Europe
ERR228056	2.2	Russia	East_Europe
ERR228059	2.2	Russia	East_Europe
ERR228060	2.2	Russia	East_Europe
ERR228061	2.2	Russia	East_Europe
ERR228062	2.2	Russia	East_Europe
ERR228064	2.2	Russia	East_Europe
ERR228068	2.2	Russia	East_Europe
ERR229915	2.2	Russia	East_Europe
ERR229918	2.2	Russia	East_Europe
ERR229920	2.2	Russia	East_Europe
ERR229921	2.2	Russia	East_Europe
ERR229922	2.2	Russia	East_Europe
ERR229923	2.2	Russia	East_Europe
ERR229924	2.2	Russia	East_Europe
ERR229926	2.2	Russia	East_Europe
ERR229929	2.2	Russia	East_Europe
ERR229931	2.2	Russia	East_Europe
ERR229935	2.2	Russia	East_Europe
ERR229936	2.2	Russia	East_Europe
ERR229939	2.2	Russia	East_Europe
ERR229940	2.2	Russia	East_Europe
ERR229945	2.2	Russia	East_Europe
ERR229946	2.2	Russia	East_Europe
ERR229947	2.2	Russia	East_Europe
ERR229949	2.2	Russia	East_Europe
ERR229955	2.2	Russia	East_Europe
ERR229957	2.2	Russia	East_Europe
ERR229960	2.2	Russia	East_Europe
ERR229961	2.2	Russia	East_Europe
ERR229962	2.2	Russia	East_Europe
ERR229964	2.2	Russia	East_Europe
ERR229965	2.2	Russia	East_Europe
ERR229966	2.2	Russia	East_Europe
ERR229968	2.2	Russia	East_Europe
ERR229969	2.2	Russia	East_Europe
ERR229970	2.2	Russia	East_Europe
ERR229971	2.2	Russia	East_Europe
ERR229975	2.2	Russia	East_Europe
ERR229976	2.2	Russia	East_Europe
ERR229977	2.2	Russia	East_Europe
ERR229978	2.2	Russia	East_Europe
ERR229982	2.2	Russia	East_Europe
ERR229984	2.2	Russia	East_Europe
ERR229993	2.2	Russia	East_Europe
ERR229994	2.2	Russia	East_Europe
ERR229995	2.2	Russia	East_Europe
ERR229997	2.2	Russia	East_Europe
ERR229998	2.2	Russia	East_Europe
ERR229999	2.2	Russia	East_Europe
ERR230004	2.2	Russia	East_Europe
ERR230005	2.2	Russia	East_Europe
ERR230006	2.2	Russia	East_Europe
ERR230007	2.2	Russia	East_Europe
ERR230008	2.2	Russia	East_Europe
ERR230010	2.2	Russia	East_Europe
ERR234556	2.2	Russia	East_Europe
ERR234557	2.2	Russia	East_Europe
ERR234559	2.2	Russia	East_Europe
ERR234560	2.2	Russia	East_Europe
ERR234562	2.2	Russia	East_Europe
ERR234563	2.2	Russia	East_Europe
ERR234565	2.2	Russia	East_Europe
ERR234569	2.2	Russia	East_Europe
ERR234573	2.2	Russia	East_Europe
ERR234574	2.2	Russia	East_Europe
ERR234575	2.2	Russia	East_Europe
ERR234576	2.2	Russia	East_Europe
ERR234581	2.2	Russia	East_Europe
ERR234582	2.2	Russia	East_Europe
ERR234584	2.2	Russia	East_Europe
ERR234585	2.2	Russia	East_Europe
ERR234589	2.2	Russia	East_Europe
ERR234590	2.2	Russia	East_Europe
ERR234593	2.2	Russia	East_Europe
ERR234596	2.2	Russia	East_Europe
ERR234597	2.2	Russia	East_Europe
ERR234598	2.2	Russia	East_Europe
ERR234600	2.2	Russia	East_Europe
ERR234602	2.2	Russia	East_Europe
ERR234603	2.2	Russia	East_Europe
ERR234607	2.2	Russia	East_Europe
ERR234608	2.2	Russia	East_Europe
ERR234609	2.2	Russia	East_Europe
ERR234610	2.2	Russia	East_Europe
ERR234617	2.2	Russia	East_Europe
ERR234618	2.2	Russia	East_Europe
ERR234619	2.2	Russia	East_Europe
ERR234620	2.2	Russia	East_Europe
ERR234622	2.2	Russia	East_Europe
ERR234623	2.2	Russia	East_Europe
ERR234624	2.2	Russia	East_Europe
ERR234630	2.2	Russia	East_Europe
ERR234633	2.2	Russia	East_Europe
ERR234637	2.2	Russia	East_Europe
ERR234638	2.2	Russia	East_Europe
ERR234639	2.2	Russia	East_Europe
ERR234640	2.2	Russia	East_Europe
ERR234641	2.2	Russia	East_Europe
ERR234642	2.2	Russia	East_Europe
ERR234645	2.2	Russia	East_Europe
ERR234646	2.2	Russia	East_Europe
ERR234647	2.2	Russia	East_Europe
ERR234649	2.2	Russia	East_Europe
ERR234651	2.2	Russia	East_Europe
ERR234652	2.2	Russia	East_Europe
ERR234653	2.2	Russia	East_Europe
ERR234655	2.2	Russia	East_Europe
ERR234657	2.2	Russia	East_Europe
ERR234658	2.2	Russia	East_Europe
ERR234660	2.2	Russia	East_Europe
ERR234661	2.2	Russia	East_Europe
ERR234662	2.2	Russia	East_Europe
ERR234663	2.2	Russia	East_Europe
ERR234668	2.2	Russia	East_Europe
ERR234671	2.2	Russia	East_Europe
ERR234672	2.2	Russia	East_Europe
ERR234683	2.2	Russia	East_Europe
ERR234688	2.2	Russia	East_Europe
ERR234690	2.2	Russia	East_Europe
ERR234692	2.2	Russia	East_Europe
ERR234698	2.2	Russia	East_Europe
ERR234250	2.2	Singapore	Southeast_Asia
SRR1003101	2.2	South_Korea	Northeast_Asia
SRR1003103	2.2	South_Korea	Northeast_Asia
SRR1003106	2.2	South_Korea	Northeast_Asia
SRR1013568	2.2	South_Korea	Northeast_Asia
SRR1013572	2.2	South_Korea	Northeast_Asia
SRR1013631	2.2	South_Korea	Northeast_Asia
SRR1013639	2.2	South_Korea	Northeast_Asia
SRR1013640	2.2	South_Korea	Northeast_Asia
SRR1013657	2.2	South_Korea	Northeast_Asia
SRR1048998	2.2	South_Korea	Northeast_Asia
SRR1049056	2.2	South_Korea	Northeast_Asia
SRR1049060	2.2	South_Korea	Northeast_Asia
SRR1049065	2.2	South_Korea	Northeast_Asia
SRR1049066	2.2	South_Korea	Northeast_Asia
SRR1019185	2.2	Taiwan	South_China
SRR1019189	2.2	Taiwan	South_China
ERR234190	2.2	Vietnam	Southeast_Asia
ERR234208	2.2	Vietnam	Southeast_Asia
ERR234209	2.2	Vietnam	Southeast_Asia
ERR234210	2.2	Vietnam	Southeast_Asia
ERR234211	2.2	Vietnam	Southeast_Asia
ERR234246	2.2	Vietnam	Southeast_Asia
ERR234249	2.2	Vietnam	Southeast_Asia
SRR1367216	2.2	Beijing	North_China
SRR1367219	2.2	Beijing	North_China
SRR1367220	2.2	Beijing	North_China
SRR1367221	2.2	Beijing	North_China
SRR1367225	2.2	Beijing	North_China
SRR1367226	2.2	Beijing	North_China
SRR1368332	2.2	Beijing	North_China
SRR1368333	2.2	Beijing	North_China
SRR1368334	2.2	Beijing	North_China
SRR1368335	2.2	Beijing	North_China
SRR1368336	2.2	Beijing	North_China
SRR1368337	2.2	Beijing	North_China
SRR1368338	2.2	Beijing	North_China
SRR1368339	2.2	Beijing	North_China
SRR1368340	2.2	Beijing	North_China
SRR1368341	2.2	Beijing	North_China
SRR1158898	2.2	Belarus	East_Europe
SRR1158929	2.2	Belarus	East_Europe
SRR1159003	2.2	Belarus	East_Europe
SRR1159262	2.2	Belarus	East_Europe
SRR1159309	2.2	Belarus	East_Europe
SRR1159349	2.2	Belarus	East_Europe
SRR1159350	2.2	Belarus	East_Europe
SRR1159362	2.2	Belarus	East_Europe
SRR1159370	2.2	Belarus	East_Europe
SRR1159526	2.2	Belarus	East_Europe
SRR1159721	2.2	Belarus	East_Europe
SRR1159779	2.2	Belarus	East_Europe
SRR1159935	2.2	Belarus	East_Europe
SRR1159952	2.2	Belarus	East_Europe
SRR1159954	2.2	Belarus	East_Europe
SRR1159977	2.2	Belarus	East_Europe
SRR1159986	2.2	Belarus	East_Europe
SRR1162505	2.2	Belarus	East_Europe
SRR1162509	2.2	Belarus	East_Europe
SRR1162947	2.2	Belarus	East_Europe
SRR1162952	2.2	Belarus	East_Europe
SRR1163022	2.2	Belarus	East_Europe
SRR1163023	2.2	Belarus	East_Europe
SRR1163050	2.2	Belarus	East_Europe
SRR1163101	2.2	Belarus	East_Europe
SRR1163135	2.2	Belarus	East_Europe
SRR1172064	2.2	Belarus	East_Europe
SRR1172071	2.2	Belarus	East_Europe
SRR1172072	2.2	Belarus	East_Europe
SRR1172085	2.2	Belarus	East_Europe
SRR1172180	2.2	Belarus	East_Europe
SRR1172231	2.2	Belarus	East_Europe
SRR1172238	2.2	Belarus	East_Europe
SRR1172264	2.2	Belarus	East_Europe
SRR1172269	2.2	Belarus	East_Europe
SRR1172272	2.2	Belarus	East_Europe
SRR1172273	2.2	Belarus	East_Europe
SRR1172291	2.2	Belarus	East_Europe
SRR1172314	2.2	Belarus	East_Europe
SRR1172345	2.2	Belarus	East_Europe
SRR1172346	2.2	Belarus	East_Europe
SRR1172367	2.2	Belarus	East_Europe
SRR1172387	2.2	Belarus	East_Europe
SRR1172411	2.2	Belarus	East_Europe
SRR1174829	2.2	Belarus	East_Europe
SRR1172721	2.2	India	South_Asia
SRR1172804	2.2	India	South_Asia
SRR1172898	2.2	India	South_Asia
SRR1172930	2.2	India	South_Asia
SRR1173099	2.2	India	South_Asia
SRR1173165	2.2	India	South_Asia
SRR1173217	2.2	India	South_Asia
SRR1173250	2.2	India	South_Asia
SRR1173286	2.2	India	South_Asia
SRR1173346	2.2	India	South_Asia
SRR1173623	2.2	India	South_Asia
SRR1173677	2.2	India	South_Asia
SRR1175025	2.2	India	South_Asia
SRR1175034	2.2	India	South_Asia
SRR1175044	2.2	India	South_Asia
SRR1175062	2.2	India	South_Asia
SRR1175079	2.2	India	South_Asia
SRR1175107	2.2	India	South_Asia
SRR1175109	2.2	India	South_Asia
SRR1175114	2.2	India	South_Asia
SRR1175131	2.2	India	South_Asia
SRR1175141	2.2	India	South_Asia
SRR1175145	2.2	India	South_Asia
SRR1175165	2.2	India	South_Asia
SRR1175174	2.2	India	South_Asia
SRR1183135	2.2	India	South_Asia
SRR1172034	2.2	Iran	West_Asia
SRR1172183	2.2	Iran	West_Asia
SRR1172188	2.2	Iran	West_Asia
SRR1172289	2.2	Iran	West_Asia
SRR1172711	2.2	Iran	West_Asia
SRR1173131	2.2	Iran	West_Asia
SRR1173140	2.2	Iran	West_Asia
SRR1173192	2.2	Iran	West_Asia
SRR1173311	2.2	Iran	West_Asia
SRR1173347	2.2	Iran	West_Asia
SRR1173393	2.2	Iran	West_Asia
SRR1173446	2.2	Iran	West_Asia
SRR1173490	2.2	Iran	West_Asia
SRR1173552	2.2	Iran	West_Asia
SRR1173628	2.2	Iran	West_Asia
SRR1173675	2.2	Iran	West_Asia
SRR1173684	2.2	Iran	West_Asia
SRR1173687	2.2	Iran	West_Asia
SRR1173695	2.2	Iran	West_Asia
SRR1174896	2.2	Iran	West_Asia
SRR1183028	2.2	Iran	West_Asia
SRR1183029	2.2	Iran	West_Asia
SRR1183041	2.2	Iran	West_Asia
SRR1723790	2.2	Jiangsu	South_China
SRR1723438	2.2	Jiangxi	South_China
SRR1723616	2.2	Jilin	North_China
ERR036186	2.2	Malawi	Africa
ERR036235	2.2	Malawi	Africa
ERR037551	2.2	Malawi	Africa
ERR171154	2.2	Malaysia	Southeast_Asia
ERR171155	2.2	Malaysia	Southeast_Asia
SRR1577830	2.2	Mali	Africa
SRR1166085	2.2	Moldova	East_Europe
SRR1166087	2.2	Moldova	East_Europe
SRR1166088	2.2	Moldova	East_Europe
SRR1166091	2.2	Moldova	East_Europe
SRR1166093	2.2	Moldova	East_Europe
SRR1166097	2.2	Moldova	East_Europe
SRR1166099	2.2	Moldova	East_Europe
SRR1166101	2.2	Moldova	East_Europe
SRR1166104	2.2	Moldova	East_Europe
SRR1166107	2.2	Moldova	East_Europe
SRR1166110	2.2	Moldova	East_Europe
SRR1166113	2.2	Moldova	East_Europe
SRR1166118	2.2	Moldova	East_Europe
SRR1166120	2.2	Moldova	East_Europe
SRR1166145	2.2	Moldova	East_Europe
SRR1166151	2.2	Moldova	East_Europe
SRR1166154	2.2	Moldova	East_Europe
SRR1166155	2.2	Moldova	East_Europe
SRR1166157	2.2	Moldova	East_Europe
SRR1166175	2.2	Moldova	East_Europe
SRR1166176	2.2	Moldova	East_Europe
SRR1166179	2.2	Moldova	East_Europe
SRR1166187	2.2	Moldova	East_Europe
SRR1166188	2.2	Moldova	East_Europe
SRR1166227	2.2	Moldova	East_Europe
SRR1166267	2.2	Moldova	East_Europe
SRR1166268	2.2	Moldova	East_Europe
SRR1166302	2.2	Moldova	East_Europe
SRR1166303	2.2	Moldova	East_Europe
SRR1166327	2.2	Moldova	East_Europe
SRR1166341	2.2	Moldova	East_Europe
SRR1168998	2.2	Moldova	East_Europe
ERR067576	2.2	Russia	East_Europe
ERR067578	2.2	Russia	East_Europe
ERR067580	2.2	Russia	East_Europe
ERR067581	2.2	Russia	East_Europe
ERR067582	2.2	Russia	East_Europe
ERR067583	2.2	Russia	East_Europe
ERR067584	2.2	Russia	East_Europe
ERR067586	2.2	Russia	East_Europe
ERR067587	2.2	Russia	East_Europe
ERR067588	2.2	Russia	East_Europe
ERR067589	2.2	Russia	East_Europe
ERR067590	2.2	Russia	East_Europe
ERR067592	2.2	Russia	East_Europe
ERR067595	2.2	Russia	East_Europe
ERR067600	2.2	Russia	East_Europe
ERR067604	2.2	Russia	East_Europe
ERR067608	2.2	Russia	East_Europe
ERR067610	2.2	Russia	East_Europe
ERR067613	2.2	Russia	East_Europe
ERR067618	2.2	Russia	East_Europe
ERR067619	2.2	Russia	East_Europe
ERR067620	2.2	Russia	East_Europe
ERR067622	2.2	Russia	East_Europe
ERR067625	2.2	Russia	East_Europe
ERR067627	2.2	Russia	East_Europe
ERR067631	2.2	Russia	East_Europe
ERR067635	2.2	Russia	East_Europe
ERR067637	2.2	Russia	East_Europe
ERR067641	2.2	Russia	East_Europe
ERR067643	2.2	Russia	East_Europe
ERR067644	2.2	Russia	East_Europe
ERR067647	2.2	Russia	East_Europe
ERR067649	2.2	Russia	East_Europe
ERR067650	2.2	Russia	East_Europe
ERR067651	2.2	Russia	East_Europe
ERR067653	2.2	Russia	East_Europe
ERR067654	2.2	Russia	East_Europe
ERR067655	2.2	Russia	East_Europe
ERR067656	2.2	Russia	East_Europe
ERR067659	2.2	Russia	East_Europe
ERR067660	2.2	Russia	East_Europe
ERR067663	2.2	Russia	East_Europe
ERR067665	2.2	Russia	East_Europe
ERR067667	2.2	Russia	East_Europe
ERR067668	2.2	Russia	East_Europe
ERR067671	2.2	Russia	East_Europe
ERR067672	2.2	Russia	East_Europe
ERR067673	2.2	Russia	East_Europe
ERR067674	2.2	Russia	East_Europe
ERR067686	2.2	Russia	East_Europe
ERR067687	2.2	Russia	East_Europe
ERR067688	2.2	Russia	East_Europe
ERR067689	2.2	Russia	East_Europe
ERR067692	2.2	Russia	East_Europe
ERR067694	2.2	Russia	East_Europe
ERR067695	2.2	Russia	East_Europe
ERR067696	2.2	Russia	East_Europe
ERR067704	2.2	Russia	East_Europe
ERR067705	2.2	Russia	East_Europe
ERR067709	2.2	Russia	East_Europe
ERR067711	2.2	Russia	East_Europe
ERR067713	2.2	Russia	East_Europe
ERR067714	2.2	Russia	East_Europe
ERR067715	2.2	Russia	East_Europe
ERR067717	2.2	Russia	East_Europe
ERR067718	2.2	Russia	East_Europe
ERR067721	2.2	Russia	East_Europe
ERR067722	2.2	Russia	East_Europe
ERR067723	2.2	Russia	East_Europe
ERR067724	2.2	Russia	East_Europe
ERR067736	2.2	Russia	East_Europe
ERR067740	2.2	Russia	East_Europe
ERR067742	2.2	Russia	East_Europe
ERR067743	2.2	Russia	East_Europe
ERR067744	2.2	Russia	East_Europe
ERR067745	2.2	Russia	East_Europe
ERR067750	2.2	Russia	East_Europe
ERR067754	2.2	Russia	East_Europe
ERR067758	2.2	Russia	East_Europe
ERR067759	2.2	Russia	East_Europe
ERR067761	2.2	Russia	East_Europe
ERR067762	2.2	Russia	East_Europe
ERR067765	2.2	Russia	East_Europe
ERR067766	2.2	Russia	East_Europe
ERR108420	2.2	Russia	East_Europe
ERR108421	2.2	Russia	East_Europe
ERR108423	2.2	Russia	East_Europe
ERR108426	2.2	Russia	East_Europe
ERR108428	2.2	Russia	East_Europe
ERR108433	2.2	Russia	East_Europe
ERR108434	2.2	Russia	East_Europe
ERR108435	2.2	Russia	East_Europe
ERR108436	2.2	Russia	East_Europe
ERR108439	2.2	Russia	East_Europe
ERR108440	2.2	Russia	East_Europe
ERR108441	2.2	Russia	East_Europe
ERR108443	2.2	Russia	East_Europe
ERR108447	2.2	Russia	East_Europe
ERR108450	2.2	Russia	East_Europe
ERR108452	2.2	Russia	East_Europe
ERR108453	2.2	Russia	East_Europe
ERR108455	2.2	Russia	East_Europe
ERR108458	2.2	Russia	East_Europe
ERR108462	2.2	Russia	East_Europe
ERR108467	2.2	Russia	East_Europe
ERR108469	2.2	Russia	East_Europe
ERR108470	2.2	Russia	East_Europe
ERR108473	2.2	Russia	East_Europe
ERR108475	2.2	Russia	East_Europe
ERR108479	2.2	Russia	East_Europe
ERR108486	2.2	Russia	East_Europe
ERR108488	2.2	Russia	East_Europe
ERR108489	2.2	Russia	East_Europe
ERR108490	2.2	Russia	East_Europe
ERR108492	2.2	Russia	East_Europe
ERR108493	2.2	Russia	East_Europe
ERR108494	2.2	Russia	East_Europe
ERR108495	2.2	Russia	East_Europe
ERR108496	2.2	Russia	East_Europe
ERR108498	2.2	Russia	East_Europe
ERR108499	2.2	Russia	East_Europe
ERR108500	2.2	Russia	East_Europe
ERR108501	2.2	Russia	East_Europe
ERR108502	2.2	Russia	East_Europe
ERR108503	2.2	Russia	East_Europe
ERR108505	2.2	Russia	East_Europe
ERR108506	2.2	Russia	East_Europe
ERR108507	2.2	Russia	East_Europe
ERR108510	2.2	Russia	East_Europe
ERR108511	2.2	Russia	East_Europe
ERR108513	2.2	Russia	East_Europe
ERR108514	2.2	Russia	East_Europe
ERR108515	2.2	Russia	East_Europe
ERR117449	2.2	Russia	East_Europe
ERR117457	2.2	Russia	East_Europe
ERR117458	2.2	Russia	East_Europe
ERR117460	2.2	Russia	East_Europe
ERR117462	2.2	Russia	East_Europe
ERR117465	2.2	Russia	East_Europe
ERR117469	2.2	Russia	East_Europe
ERR117470	2.2	Russia	East_Europe
ERR133799	2.2	Russia	East_Europe
ERR133802	2.2	Russia	East_Europe
ERR133805	2.2	Russia	East_Europe
ERR133806	2.2	Russia	East_Europe
ERR133810	2.2	Russia	East_Europe
ERR133814	2.2	Russia	East_Europe
ERR133815	2.2	Russia	East_Europe
ERR133820	2.2	Russia	East_Europe
ERR133826	2.2	Russia	East_Europe
ERR133827	2.2	Russia	East_Europe
ERR133831	2.2	Russia	East_Europe
ERR133837	2.2	Russia	East_Europe
ERR133839	2.2	Russia	East_Europe
ERR133840	2.2	Russia	East_Europe
ERR133844	2.2	Russia	East_Europe
ERR133847	2.2	Russia	East_Europe
ERR133852	2.2	Russia	East_Europe
ERR133854	2.2	Russia	East_Europe
ERR133855	2.2	Russia	East_Europe
ERR133856	2.2	Russia	East_Europe
ERR133859	2.2	Russia	East_Europe
ERR133860	2.2	Russia	East_Europe
ERR133862	2.2	Russia	East_Europe
ERR133863	2.2	Russia	East_Europe
ERR133865	2.2	Russia	East_Europe
ERR133866	2.2	Russia	East_Europe
ERR133868	2.2	Russia	East_Europe
ERR133871	2.2	Russia	East_Europe
ERR133873	2.2	Russia	East_Europe
ERR133875	2.2	Russia	East_Europe
ERR133879	2.2	Russia	East_Europe
ERR133880	2.2	Russia	East_Europe
ERR133882	2.2	Russia	East_Europe
ERR133885	2.2	Russia	East_Europe
ERR133886	2.2	Russia	East_Europe
ERR133888	2.2	Russia	East_Europe
ERR133889	2.2	Russia	East_Europe
ERR133890	2.2	Russia	East_Europe
ERR133891	2.2	Russia	East_Europe
ERR133892	2.2	Russia	East_Europe
ERR133895	2.2	Russia	East_Europe
ERR133896	2.2	Russia	East_Europe
ERR133898	2.2	Russia	East_Europe
ERR133899	2.2	Russia	East_Europe
ERR133900	2.2	Russia	East_Europe
ERR133901	2.2	Russia	East_Europe
ERR133902	2.2	Russia	East_Europe
ERR133904	2.2	Russia	East_Europe
ERR133906	2.2	Russia	East_Europe
ERR133907	2.2	Russia	East_Europe
ERR133908	2.2	Russia	East_Europe
ERR133913	2.2	Russia	East_Europe
ERR133914	2.2	Russia	East_Europe
ERR133915	2.2	Russia	East_Europe
ERR133919	2.2	Russia	East_Europe
ERR133924	2.2	Russia	East_Europe
ERR133925	2.2	Russia	East_Europe
ERR133926	2.2	Russia	East_Europe
ERR133929	2.2	Russia	East_Europe
ERR133930	2.2	Russia	East_Europe
ERR133932	2.2	Russia	East_Europe
ERR133935	2.2	Russia	East_Europe
ERR133941	2.2	Russia	East_Europe
ERR133944	2.2	Russia	East_Europe
ERR133945	2.2	Russia	East_Europe
ERR133946	2.2	Russia	East_Europe
ERR133947	2.2	Russia	East_Europe
ERR133948	2.2	Russia	East_Europe
ERR133950	2.2	Russia	East_Europe
ERR133951	2.2	Russia	East_Europe
ERR133953	2.2	Russia	East_Europe
ERR133954	2.2	Russia	East_Europe
ERR133955	2.2	Russia	East_Europe
ERR133958	2.2	Russia	East_Europe
ERR133959	2.2	Russia	East_Europe
ERR133963	2.2	Russia	East_Europe
ERR133966	2.2	Russia	East_Europe
ERR133968	2.2	Russia	East_Europe
ERR133970	2.2	Russia	East_Europe
ERR133973	2.2	Russia	East_Europe
ERR133975	2.2	Russia	East_Europe
ERR133979	2.2	Russia	East_Europe
ERR133982	2.2	Russia	East_Europe
ERR133983	2.2	Russia	East_Europe
ERR133984	2.2	Russia	East_Europe
ERR133987	2.2	Russia	East_Europe
ERR133988	2.2	Russia	East_Europe
ERR137192	2.2	Russia	East_Europe
ERR137195	2.2	Russia	East_Europe
ERR137198	2.2	Russia	East_Europe
ERR137204	2.2	Russia	East_Europe
ERR137205	2.2	Russia	East_Europe
ERR137206	2.2	Russia	East_Europe
ERR137207	2.2	Russia	East_Europe
ERR137208	2.2	Russia	East_Europe
ERR137210	2.2	Russia	East_Europe
ERR137212	2.2	Russia	East_Europe
ERR137215	2.2	Russia	East_Europe
ERR137216	2.2	Russia	East_Europe
ERR137218	2.2	Russia	East_Europe
ERR137220	2.2	Russia	East_Europe
ERR137221	2.2	Russia	East_Europe
ERR137222	2.2	Russia	East_Europe
ERR137223	2.2	Russia	East_Europe
ERR137225	2.2	Russia	East_Europe
ERR137227	2.2	Russia	East_Europe
ERR137229	2.2	Russia	East_Europe
ERR137230	2.2	Russia	East_Europe
ERR137231	2.2	Russia	East_Europe
ERR137232	2.2	Russia	East_Europe
ERR137234	2.2	Russia	East_Europe
ERR137235	2.2	Russia	East_Europe
ERR137240	2.2	Russia	East_Europe
ERR137241	2.2	Russia	East_Europe
ERR137242	2.2	Russia	East_Europe
ERR137243	2.2	Russia	East_Europe
ERR137246	2.2	Russia	East_Europe
ERR137247	2.2	Russia	East_Europe
ERR137248	2.2	Russia	East_Europe
ERR137249	2.2	Russia	East_Europe
ERR137252	2.2	Russia	East_Europe
ERR137253	2.2	Russia	East_Europe
ERR137254	2.2	Russia	East_Europe
ERR137255	2.2	Russia	East_Europe
ERR137257	2.2	Russia	East_Europe
ERR137260	2.2	Russia	East_Europe
ERR137262	2.2	Russia	East_Europe
ERR137264	2.2	Russia	East_Europe
ERR137267	2.2	Russia	East_Europe
ERR137268	2.2	Russia	East_Europe
ERR137269	2.2	Russia	East_Europe
ERR137273	2.2	Russia	East_Europe
ERR137275	2.2	Russia	East_Europe
ERR137277	2.2	Russia	East_Europe
ERR137278	2.2	Russia	East_Europe
ERR137279	2.2	Russia	East_Europe
ERR137281	2.2	Russia	East_Europe
ERR137282	2.2	Russia	East_Europe
ERR137283	2.2	Russia	East_Europe
