Gene	Type	StartPos	EndPos	4.2cnONLYchina_KLvalue	4.2cnONLYchina_Hvalue	4.2cnONLYchina_DFvalue
Rv0032	CDS	34295	36610	8.123060256659542e-07	1.356354810634528	0.00019806557213641884
Rv0033	CDS	36607	36870	0.0	1.3605720570071034	0.0
Rv0034	CDS	36867	37262	4.501758021913105e-09	1.3358000941169081	2.1258756863651307e-05
Rv0035	CDS	37259	38947	1.7254438433589314e-09	1.3448218273726462	1.390209763307837e-05
Rv0036c	CDS	39056	39829	7.825548658191295e-06	1.3133334719881142	0.0010326953343359757
Rv0037c	CDS	39877	41202	1.3564141476685165e-10	1.3059203116600018	5.612780121261318e-06
Rv0038	CDS	41304	41912	3.735630749179819e-09	1.3359583504178048	-1.8579850995348313e-05
Rv0039c	CDS	42004	42351	3.472877671778507e-05	1.2815957866820133	-0.0022100854134252945
Rv0040c	CDS	42433	43365	9.294154335037774e-10	1.319099354514156	9.28136973088467e-06
Rv0041	CDS	43562	46471	1.0334596136085672e-06	1.3517864616468802	0.00036718714289635246
Rv0042c	CDS	46581	47207	4.383240603811345e-09	1.3463336563799382	8.70467030050781e-06
Rv0043c	CDS	47366	48100	1.0059891253355602e-09	1.3451444645358595	8.180897437870538e-06
Rv0044c	CDS	48233	49027	1.0693451124588194e-09	1.329776875168212	-6.0989040353010004e-06
Rv0045c	CDS	49043	49939	1.1475488337353568e-09	1.3263403557644853	4.334017556284486e-06
Rv0046c	CDS	50021	51124	4.313147505818904e-09	1.345344063703899	1.5033986429102697e-05
Rv0047c	CDS	51185	51727	0.0	1.3296308090135032	0.0
Rv0048c	CDS	51828	52697	5.877566378043042e-09	1.3340665613970448	-1.2104739944451826e-05
Rv0049	CDS	52831	53244	2.1832517738129553e-08	1.3287158930896072	5.094610065214944e-05
Rv0050	CDS	53663	55699	5.755653675887373e-09	1.3493935386756917	2.5464634684835286e-05
Rv0051	CDS	55696	57378	6.743470781778171e-10	1.335690450143164	5.6246264488191144e-06
Rv0052	CDS	57410	57973	9.511434521103368e-07	1.3328147170954865	0.0002798631387621042
Rv0053	CDS	58192	58482	0.0	1.3565225888971781	0.0
Rv0054	CDS	58586	59080	7.341331986765454e-10	1.3274005727431877	7.183787319897661e-06
Rv0055	CDS	59122	59376	2.4992681257884897e-09	1.3349917520715044	-9.882906176927886e-06
Rv0056	CDS	59409	59867	4.000875741816401e-09	1.3550705982382554	-5.169643700841942e-06
Rv0057	CDS	59896	60417	1.894192858120647e-09	1.358487640370575	-8.209100855138818e-06
Rv0058	CDS	60396	63020	2.570019752567987e-10	1.351800081293259	2.968641318878973e-07
Rv0059	CDS	63200	63892	2.775333296511917e-10	1.356405033126694	-1.1661553669939373e-06
Rv0060	CDS	63909	64967	1.6101348032648843e-10	1.3645595703890503	2.991250959649694e-06
Rv0061c	CDS	65012	65350	0.0	1.3498434927149077	0.0
Rv0062	CDS	65552	66694	2.09148592889008e-09	1.3171220510813912	5.839084824654783e-06
Rv0063	CDS	66923	68362	5.676315029123913e-09	1.3250744746934444	3.1016983728038294e-05
Rv0063a	CDS	68418	68579	6.878595582016089e-09	1.329432679750449	-2.5995305708514937e-05
Rv0064	CDS	68620	71559	4.376686442153499e-07	1.3477551361662579	-0.00014577111133523557
Rv0064A	CDS	71589	71828	3.4785612390564324e-08	1.3323905154239077	-6.5013164448402e-05
Rv0065	CDS	71821	72222	7.808157898026025e-09	1.3540237397424852	2.2787554864178716e-05
Rv0066c	CDS	72274	74511	1.870302690498704e-09	1.352671528972495	1.021710462550951e-05
Rv0067c	CDS	74629	75198	1.3111494818862646e-05	1.3398361481759182	-0.0010882153647892023
Rv0068	CDS	75301	76212	2.2621360340480123e-10	1.333533090022885	-5.520058929120442e-06
Rv0069c	CDS	76237	77622	3.5430858247309516e-10	1.338505271032575	-4.1664642720373735e-06
Rv0070c	CDS	77619	78896	2.6431164479312486e-09	1.3266358666093128	1.98233146029847e-05
Rv0071	CDS	79486	80193	1.0147265805393602e-09	1.3421826269505353	-1.1084032368047225e-06
Rv0072	CDS	80624	81673	1.368272223301048e-08	1.3506133725351004	1.504161249238356e-05
Rv0073	CDS	81676	82668	1.7950480102335575e-08	1.3503018223183212	3.469460597793628e-05
Rv0074	CDS	82748	83983	9.68173152759988e-10	1.3292657647137718	-1.210972191351134e-05
Rv0075	CDS	83996	85168	2.714893283795039e-06	1.3431549387275323	0.000348723925538752
Rv0076c	CDS	85183	85572	0.0	1.3529277889871307	0.0
Rv0077c	CDS	85636	86466	5.519003087872676e-09	1.3310449883038682	3.085649831618964e-05
Rv0078	CDS	86528	87133	0.0	1.3154442091263965	0.0
Rv0078A	CDS	87208	87801	6.8795783514374875e-09	1.360634159979511	-1.9403274649332225e-05
Rv0078B	CDS	87798	88004	4.703074707457233e-09	1.3407613027846264	1.0781457324693378e-05
Rv0079	CDS	88204	89025	2.727388870304992e-10	1.3188227141282702	-5.659544865255217e-06
Rv0080	CDS	89022	89480	2.0170598146851404e-05	1.3119352907178912	-0.0017384907575051511
Rv0081	CDS	89575	89919	1.0060517918741851e-08	1.3303049553813724	2.702229928069899e-05
Rv0082	CDS	89924	90403	5.102053002303819e-09	1.297346980694785	-3.291942526717495e-05
Rv0083	CDS	90400	92322	6.030004551238477e-10	1.2800536272142127	1.1714580076899184e-05
Rv0084	CDS	92328	93278	1.1514007525192937e-09	1.3105009729312627	1.747242653654668e-05
Rv0085	CDS	93289	93951	2.829182166319555e-09	1.3029736484794128	1.0379676644411973e-05
Rv0086	CDS	93951	95417	7.682537939146528e-11	1.3041957384129164	2.6809100736602254e-06
Rv0087	CDS	95414	96892	2.356427275529427e-10	1.326411236523166	5.332117110734558e-06
Rv0088	CDS	96927	97601	3.827592687244419e-10	1.3536209272230924	-6.1822139628131545e-06
Rv0089	CDS	97758	98351	3.477659826778279e-10	1.326065949388835	-4.342424874126394e-07
Rv0090	CDS	98480	99250	2.9597851947116283e-10	1.328626563814341	-3.2419396520655397e-06
Rv0091	CDS	99684	100451	2.2456200898801626e-08	1.3379552669150656	5.497027163964274e-05
Rv0092	CDS	100583	102868	2.026076417749323e-09	1.3228478469957534	1.3715932043356638e-05
Rv0093c	CDS	102815	103663	1.819181932871672e-08	1.3187236848512185	5.5632199545629923e-05
Rv0094c	CDS	103710	104663	2.6612916703694367e-08	1.272633270545644	3.918985733297742e-05
Rv0095c	CDS	104805	105215	3.4276015048462227e-07	1.35926384874009	0.0001197372348631931
Rv0096	CDS	105324	106715	4.154463939531894e-09	1.3350459518746407	1.4506910180955845e-05
Rv0097	CDS	106734	107603	2.4155250022417363e-10	1.364389934391987	4.341399954532754e-06
Rv0098	CDS	107600	108151	0.0	1.368047859318449	0.0
Rv0099	CDS	108156	109778	1.3356787897933486e-10	1.3530254719071433	4.088706438420964e-06
Rv0100	CDS	109783	110019	8.865786993439428e-09	1.3578543369037335	1.4951860909384607e-05
Rv0101	CDS	110001	117539	3.6392648894434387e-09	1.3379890692276124	-1.8014469192140226e-05
Rv0102	CDS	117714	119699	2.53357279600408e-10	1.3293406505280951	-3.188946373022805e-06
Rv0103c	CDS	119915	122173	5.962796367775525e-10	1.331718820508158	8.5173388216786e-06
Rv0104	CDS	122317	123831	1.7725417510994212e-06	1.3442266123577586	0.0003228233808475478
Rv0105c	CDS	123980	124264	2.448294011969665e-09	1.3224215995813764	1.5842057624504413e-05
Rv0106	CDS	124374	125570	2.579890190368417e-10	1.3299019500886202	7.308009682960304e-06
Rv0107c	CDS	125643	130541	1.8897325171352009e-07	1.3147181594000892	0.00016157889058243669
Rv0108c	CDS	130895	131104	0.0	1.3616939736746172	0.0
Rv0109	CDS	131382	132872	2.080623673350601e-09	1.2658535751476274	2.9453276782998028e-05
Rv0110	CDS	133020	133769	5.577372730325436e-09	1.321098632848857	3.2246863379103985e-05
Rv0111	CDS	133950	136007	5.887788590008824e-10	1.3311717469042557	4.516079659955263e-06
Rv0112	CDS	136289	137245	4.9081739228462595e-09	1.3791689658202144	5.4996495726933325e-06
Rv0113	CDS	137319	137909	4.918733470526959e-08	1.3735764835021307	-3.9096728397969294e-05
Rv0114	CDS	137941	138513	2.8826141251769855e-08	1.3516408190556435	-5.6793178281722145e-05
Rv0115	CDS	138513	139673	4.051042445940567e-09	1.350244184564721	-6.206095476746221e-06
Rv0115a	CDS	139956	140144	0.0	1.348243660472969	0.0
Rv0116c	CDS	140267	141022	3.087204936136345e-10	1.3501749912369463	3.9923429980270875e-06
Rv0117	CDS	141200	142144	2.557507428058159e-09	1.346907554697057	1.8146067886026795e-05
Rv0118c	CDS	142128	143876	1.5189580875318853e-06	1.3287612189750173	0.0003686394208423094
Rv0119	CDS	144049	145626	1.912222546973652e-09	1.315470661365934	-1.5144731163763137e-05
Rv0120c	CDS	145627	147771	4.953853882661008e-09	1.3336975343253863	2.6261511819059002e-05
Rv0121c	CDS	147908	148342	6.571319599579795e-10	1.3312788893021323	1.228072736558783e-06
Rv0122	CDS	148491	148859	0.0	1.3559070838518894	0.0
Rv0123	CDS	148856	149224	0.0	1.353811462577101	0.0
Rv0124	CDS	149533	150996	2.970326623552566e-09	1.2109954872616326	3.5114835112481924e-05
Rv0125	CDS	151148	152215	1.664771293041767e-08	1.3191260264456175	4.296668329012432e-05
Rv0126	CDS	152324	154129	5.560668592252682e-11	1.3518548996410185	1.7652904195641916e-06
Rv0127	CDS	154232	155599	4.862793501203555e-10	1.3359765415882674	9.222821391263736e-06
Rv0128	CDS	155667	156446	2.4638118212294557e-09	1.352056175981566	1.3147116208367393e-05
Rv0129c	CDS	156578	157600	2.0401909606171387e-09	1.3396775933210203	-9.536846874047544e-06
Rv0130	CDS	157847	158302	3.7206427383473795e-09	1.3331766958964208	2.0254549451814707e-05
Rv0131c	CDS	158315	159658	6.572885014044516e-10	1.3399200988009512	9.362638736354345e-06
Rv0132c	CDS	159700	160782	7.853980799055194e-10	1.3194936382220106	1.3455345773738525e-05
Rv0133	CDS	160869	161474	1.177494601822815e-09	1.3154063405936811	6.410782566412809e-06
Rv0134	CDS	161771	162673	2.605229365570949e-10	1.321243756766353	4.920283392439995e-06
Rv0135c	CDS	162644	163249	5.085385446079727e-10	1.3398152398447256	6.4205165353214966e-06
Rv0136	CDS	163366	164691	4.9168252802545e-10	1.3362404223735032	6.299954295518884e-06
Rv0137c	CDS	164712	165260	6.512848593764886e-10	1.3387681688887607	9.93321593212304e-06
Rv0138	CDS	165323	165826	0.0	1.3475121833619825	0.0
Rv0139	CDS	165827	166849	1.420560391540704e-09	1.3225046915432557	1.4834368000093967e-05
Rv0140	CDS	166910	167290	1.4252079127974326e-08	1.3612896018527427	5.86494177456931e-06
Rv0141c	CDS	167271	167681	7.714024513605366e-08	1.3615550777461887	-5.1086946246226006e-05
Rv0142	CDS	167711	168637	2.1833918006919362e-10	1.2755335683865452	5.1083320686262645e-06
Rv0143c	CDS	168704	170182	6.203679236982396e-09	1.323186349517427	2.7588916890253223e-05
Rv0144	CDS	170284	171126	6.049957756992796e-10	1.3486564141052453	4.2242605176046055e-06
Rv0145	CDS	171215	172168	2.0130641598115062e-10	1.327981353867785	4.844823477623272e-06
Rv0146	CDS	172211	173143	8.331177969722603e-10	1.327817000256118	-8.914667965653766e-06
Rv0147	CDS	173238	174758	3.937184078761646e-09	1.3443079250210674	1.8135730229407176e-05
Rv0148	CDS	174833	175693	1.2140293215168185e-09	1.3436849674736722	1.2335880318570247e-05
Rv0149	CDS	175700	176668	3.8588965356467497e-10	1.3393821121839014	7.805952231487723e-06
Rv0150c	CDS	176665	176952	1.830839946315166e-08	1.340690800129552	4.112659841543076e-05
Rv0151c	CDS	177543	179309	1.645387492921202e-09	1.3551031282698376	-5.466848073620856e-06
Rv0152c	CDS	179319	180896	3.2184219178610363e-09	1.34628773783349	1.402624645058248e-05
Rv0153c	CDS	181155	181985	2.778229868383164e-10	1.3226577285432315	6.3615625455759606e-06
Rv0154c	CDS	181987	183198	5.28588361969895e-09	1.3205468973891101	3.456886561686856e-05
Rv0155	CDS	183622	184722	1.5102508132969206e-10	1.3176639383383348	4.771917068491227e-06
Rv0156	CDS	184723	185055	1.4798494651913074e-09	1.364969396844616	6.783009237953941e-06
Rv0157	CDS	185052	186479	7.255024359054119e-10	1.3429621828170593	6.394484921512511e-06
Rv0157A	CDS	186495	186623	0.0	1.3528364703499698	0.0
Rv0158	CDS	186785	187429	2.781355146197484e-09	1.3411540122841035	-1.4743443135623036e-05
Rv0159c	CDS	187433	188839	4.679167719956467e-09	1.3515078642503209	1.2398413097303163e-05
Rv0160c	CDS	188931	190439	1.96693344944876e-09	1.3462339256938325	1.5670703253867213e-05
Rv0161	CDS	190607	191956	9.990022697969891e-10	1.319310950108471	3.9706047633703e-06
Rv0162c	CDS	191984	193135	4.238063677775017e-09	1.3192621544976695	1.947514775701986e-05
Rv0163	CDS	193117	193572	3.883149879424508e-08	1.3499514461053643	6.967569740884416e-05
Rv0164	CDS	193626	194111	1.3903109049639983e-05	1.3597040329500876	-1.3902897468831554e-05
Rv0165c	CDS	194144	194815	1.9158966635401953e-09	1.3325487078858378	1.2763328266385265e-05
Rv0166	CDS	194993	196657	1.5932211012148478e-06	1.3524789784424867	0.00032099888845171787
Rv0167	CDS	196861	197658	3.2572794461671606e-09	1.3385742870192103	1.0128467088366122e-06
Rv0168	CDS	197660	198529	9.936442224578457e-10	1.335573958139229	9.796966267683338e-06
Rv0169	CDS	198534	199898	3.290018312285259e-06	1.3545905680140446	0.000497582304489208
Rv0170	CDS	199895	200935	4.0303654857964943e-10	1.3657052576949797	-2.4470658493425113e-06
Rv0171	CDS	200932	202479	1.6827941817787462e-09	1.3289492082298409	1.8277511113828915e-05
Rv0172	CDS	202476	204068	1.5727586258895698e-06	1.3564578023592404	-0.0003291739119507531
Rv0173	CDS	204065	205237	1.2712545460757951e-09	1.3510715682620094	-6.078568776046733e-06
Rv0174	CDS	205231	206778	1.7457473389104194e-06	1.3567585047757627	-0.0003150026698662822
Rv0175	CDS	206814	207455	7.384790778885986e-09	1.3389487113427436	1.938345354923765e-05
Rv0176	CDS	207452	208420	6.892052484275268e-10	1.3361540391600242	-9.564803794992471e-06
Rv0177	CDS	208417	208971	0.0	1.365504582692242	0.0
Rv0178	CDS	208938	209672	1.1033900459977986e-09	1.344571471409094	-1.8219925669860082e-06
Rv0179c	CDS	209703	210812	1.0385753368424844e-10	1.344326794735772	-1.4590417352078333e-07
Rv0180c	CDS	210892	212250	1.1829847657018888e-09	1.3464432130698847	1.440395948515416e-06
Rv0181c	CDS	212277	213011	4.9825344128340276e-08	1.349716681775911	6.8080018568617e-05
Rv0182c	CDS	213028	214140	3.922117630672517e-10	1.3346908487259108	7.799282198073243e-06
Rv0183	CDS	214088	214927	0.0	1.3294594805217619	0.0
Rv0184	CDS	214969	215718	0.0	1.3024072372775457	0.0
Rv0185	CDS	215715	216224	1.817495803857483e-08	1.323478393209955	6.046540150705937e-05
Rv0186	CDS	216269	218344	2.543005829525047e-06	1.3333235288576075	0.00022026096083360702
Rv0186A	CDS	218390	218551	0.0	1.350361116912088	0.0
Rv0187	CDS	218705	219367	6.787440831601543e-09	1.3241791483964018	3.196438342784047e-05
Rv0188	CDS	219486	219917	4.3496541368703845e-09	1.3448311278610585	2.4322273633692326e-05
Rv0189c	CDS	219996	221723	1.445015940237937e-09	1.3357093464594834	1.4458664563121726e-05
Rv0190	CDS	221871	222161	0.0	1.3406874387608099	0.0
Rv0191	CDS	222289	223530	5.1425118607895115e-09	1.3117507761804457	3.531776319859459e-05
Rv0192	CDS	223564	224664	1.0815771500638505e-08	1.3306129245999563	3.630164499873745e-05
Rv0193c	CDS	224724	226571	9.483477000915563e-07	1.3580369240317702	-0.0001798002787381514
Rv0194	CDS	226878	230462	9.589835592294094e-10	1.325415194808536	1.0636758527249324e-05
Rv0195	CDS	230899	231534	2.226649864489616e-09	1.350578371366245	-5.7408983892281995e-06
Rv0196	CDS	231647	232231	3.552703131681767e-10	1.3196239451195557	1.381536683664475e-06
Rv0197	CDS	232231	234519	8.562973729531187e-07	1.3320071172246044	-0.0002881541273259125
Rv0198c	CDS	234516	236507	1.8470518448054918e-09	1.3473025817385909	1.5792193412522693e-05
Rv0199	CDS	236550	237209	8.856262112555413e-09	1.3429190547646357	3.178600857911551e-05
Rv0200	CDS	237206	237895	2.6476018599730367e-09	1.319317280554583	-1.3010630863119488e-05
Rv0201c	CDS	237892	238395	0.0	1.3242327700256689	0.0
Rv0202c	CDS	238392	241292	5.548587700410224e-10	1.3331049423537351	1.051977240751345e-05
Rv0203	CDS	241514	241924	2.6266888664139287e-09	1.3250969281209453	8.52519259492146e-06
Rv0204c	CDS	241976	243214	1.1350938133869448e-08	1.320960847149435	-3.944215618922886e-05
Rv0205	CDS	243384	244487	4.4722311453027075e-06	1.320593786294628	0.000965314957477259
Rv0206c	CDS	244484	247318	5.674289371704333e-10	1.3386736519787217	4.447516764927162e-06
Rv0207c	CDS	247384	248112	3.4289232564432837e-10	1.342692272888049	5.735695109476691e-06
Rv0208c	CDS	248115	248906	3.7196434821140656e-10	1.3418693347885147	1.7369405802547533e-07
Rv0209	CDS	249038	250123	3.7071593121940083e-06	1.2994670367288124	0.0006521415792068996
Rv0210	CDS	250120	251598	4.611160521972302e-06	1.3031637957050064	-0.00027647987446305367
Rv0211	CDS	251782	253602	6.930828688744839e-10	1.3448935080893543	-2.78253680707774e-07
Rv0212c	CDS	253669	254640	1.9860346700539822e-10	1.336253083154392	4.405128904594324e-06
Rv0213c	CDS	254637	255950	2.502759333111726e-09	1.3574077769986292	-2.0885347571386603e-06
Rv0214	CDS	256064	257677	9.08769726137848e-10	1.349690964732103	8.111532901811103e-06
Rv0216	CDS	258913	259926	0.0	1.3318153792548029	0.0
Rv0217c	CDS	259923	260831	2.1613626610683667e-08	1.3250934557027634	-5.103283836782602e-05
Rv0218	CDS	260924	262252	9.117374466516281e-09	1.3160205109929304	4.499176435734942e-05
Rv0219	CDS	262254	262802	1.390329518180522e-09	1.3274968437902748	-5.974926448937268e-06
Rv0220	CDS	262812	264023	1.6437107230871106e-10	1.3348375317253278	-9.691232987774079e-07
Rv0221	CDS	264067	265476	2.7945579184063263e-10	1.3533062977833417	4.378978029462299e-06
Rv0222	CDS	265507	266295	3.368817336202312e-09	1.334875234581997	-2.4041821385600848e-05
Rv0223c	CDS	266301	267764	5.6109743518106825e-09	1.345663455000028	2.363452142778444e-05
Rv0224c	CDS	267863	268627	1.6826847692996694e-09	1.3253398193542938	1.8908286404772934e-05
Rv0225	CDS	268663	269817	7.484816044733833e-09	1.324876439388565	-3.40007864051417e-05
Rv0226c	CDS	269834	271564	2.392261166939136e-09	1.2984169394460934	1.5147457534059328e-05
Rv0227c	CDS	271574	272839	1.7584565470407654e-09	1.333278652838381	1.436325339476685e-05
Rv0228	CDS	273055	274278	1.1227995200258079e-09	1.2960261946591691	1.5522266408718455e-05
Rv0229c	CDS	274306	274986	-5.551115123125783e-17	1.3562083164268377	0.0
Rv0230c	CDS	274983	275963	5.759702714769332e-10	1.3309300158647406	-7.040339964625719e-06
Rv0231	CDS	276058	277764	3.504985524038773e-09	1.3473895085919807	3.939540745012682e-06
Rv0232	CDS	277899	278588	0.0	1.324623017662634	-5.551115123125783e-17
Rv0233	CDS	278585	279529	2.9040194138296727e-09	1.3401784145865914	1.9746213535676294e-05
Rv0234c	CDS	279605	281140	3.762267164475475e-09	1.3272689879412347	2.0597041521741577e-05
Rv0235c	CDS	281166	282614	1.8692498012229386e-06	1.348033900398926	0.0002716128856583566
Rv0236c	CDS	282649	286851	1.1963192103614517e-09	1.288960072509144	1.705309280097822e-05
Rv0236A	CDS	286898	287071	0.0	1.3396548972576743	0.0
Rv0237	CDS	287186	288352	8.640204401944018e-08	1.3125591030082895	-0.00012180488560203928
Rv0238	CDS	288428	289042	9.413181345507837e-10	1.347544774873783	1.1768490720431846e-05
Rv0239	CDS	289104	289337	3.543517479442926e-09	1.3367604195112561	1.9352422872820352e-05
Rv0240	CDS	289345	289782	9.738305717377216e-10	1.3516530456118838	-9.121518717847277e-06
Rv0241c	CDS	289812	290654	3.3616015526760634e-09	1.3297794908001102	2.471348942117979e-05
Rv0242c	CDS	290665	292029	7.541431923385744e-10	1.3197509211394234	9.927626632599829e-06
Rv0243	CDS	292171	293493	6.363996385427839e-09	1.3204610450620882	3.426137688339326e-05
Rv0244c	CDS	293798	295633	1.452193365558685e-10	1.344411633021601	4.026736310280832e-06
Rv0245	CDS	296005	296493	7.539925350741328e-10	1.3452739272993535	7.569863668455135e-06
Rv0246	CDS	296809	298119	0.0	1.354121059951757	0.0
Rv0247c	CDS	298116	298862	2.5118579438654365e-10	1.3656421369122036	7.811770486032543e-08
Rv0248c	CDS	298863	300803	9.544715018350303e-11	1.3444144595303644	1.042487114411017e-06
Rv0249c	CDS	300834	301655	4.702204126072473e-09	1.3671578808297031	1.4417924821708006e-05
Rv0250c	CDS	301735	302028	0.0	1.3531767847414098	0.0
Rv0251c	CDS	302173	302652	6.1747233992548445e-09	1.3286843150079528	2.188962489385604e-05
Rv0252	CDS	302866	305427	9.24247511857601e-10	1.3350815330049375	-9.138823634791127e-06
Rv0253	CDS	305453	305809	8.989270050552278e-09	1.3352197906609662	5.125150943308121e-06
Rv0254c	CDS	305825	306349	6.460775192618229e-09	1.3210893537259338	2.5055522860806256e-05
Rv0255c	CDS	306374	307858	3.608283671852064e-09	1.3058334170762262	2.9975426761585933e-05
Rv0256c	CDS	307877	309547	9.459393823796347e-10	1.32227130496841	-1.1941826574712877e-05
Rv0257	CDS	309699	310073	2.753797626592336e-05	1.35120228931228	-0.0007313550893165432
Rv0258c	CDS	310294	310749	6.543333969100118e-08	1.3521129163363863	2.217334387677461e-05
Rv0259c	CDS	310774	311517	6.647141725935057e-10	1.332879908708898	1.0468325184476157e-06
Rv0260c	CDS	311514	312659	2.7805344138265298e-09	1.3415080572829752	1.4214907660792253e-05
Rv0261c	CDS	312759	314168	1.0154950214058545e-09	1.3399704655400435	1.2526717097394169e-05
Rv0262c	CDS	314309	314854	2.510928132082313e-09	1.3189582171496652	1.7821879641777283e-05
Rv0263c	CDS	314864	315766	2.436643664616156e-10	1.3168924760534289	5.907840376850881e-06
Rv0264c	CDS	315783	316415	1.878458222304147e-09	1.3111432684618956	-1.6986569816968e-05
Rv0265c	CDS	316511	317503	7.288292747098524e-10	1.332095424439268	8.79652293678257e-06
Rv0266c	CDS	317525	321154	7.823407817686423e-07	1.3140383094366483	0.0002367055348886371
Rv0267	CDS	321331	322722	3.3067082405580095e-10	1.326775676254516	3.547989405605634e-06
Rv0268c	CDS	322764	323273	9.292794738713361e-07	1.3554538739105775	0.00016661125296840718
Rv0269c	CDS	323338	324531	7.516963163034518e-10	1.3084075307856	-1.911580949420788e-06
Rv0270	CDS	324567	326249	1.6404278980197695e-06	1.3419719032667663	0.00038607613230851046
Rv0271c	CDS	326266	328461	2.2784818476395685e-10	1.3292552354699392	4.201228444189464e-06
Rv0272c	CDS	328575	329708	2.3714145092057493e-09	1.3387615521785978	1.9408773278384306e-05
Rv0273c	CDS	329705	330325	2.6464970603878868e-08	1.3550011957557642	-3.0057906074798524e-05
Rv0274	CDS	330422	331003	0.0	1.3561551619536347	0.0
Rv0275c	CDS	330933	331658	8.834793974621391e-06	1.318457434892755	-0.0012019199843981698
Rv0276	CDS	331748	332668	5.7628362137851497e-08	1.3265118984771955	8.240630901890089e-05
Rv0277c	CDS	332708	333136	6.758302922849069e-08	1.3497811508116648	-6.478060363646065e-05
Rv0278c	CDS	333437	336310	4.2414697709602933e-07	1.2242016604807304	0.0002947551708834262
Rv0279c	CDS	336560	339073	1.6352595043345186e-06	1.2177578606437665	-0.0008954261941484798
Rv0280	CDS	339364	340974	1.8920527404264753e-06	1.3090508546242645	-0.0004110821249680985
Rv0281	CDS	340998	341906	4.395114272526257e-09	1.327745700367554	1.8564942050158795e-05
Rv0282	CDS	342130	344025	2.9480128146963658e-06	1.3412533391978707	0.00029605855511988244
Rv0283	CDS	344022	345638	4.820644106118266e-09	1.3187402632544567	2.4375343643689984e-05
Rv0284	CDS	345635	349627	3.456566144421913e-10	1.3359997071092502	4.380399390158107e-06
Rv0285	CDS	349624	349932	1.9814190288514055e-09	1.2636725105165478	-2.2326672934835923e-05
Rv0286	CDS	349935	351476	1.280444914930623e-06	1.3165813012951189	-0.00013145503778194678
Rv0287	CDS	351525	351818	7.913988075980427e-09	1.3290617153922575	1.742621152384105e-05
Rv0288	CDS	351848	352138	8.907323600926276e-09	1.3453358199617325	3.5074862457296074e-05
Rv0289	CDS	352149	353036	1.5770340588971976e-10	1.3296522353647382	-6.389677507656621e-07
Rv0290	CDS	353083	354501	2.0513205578609472e-09	1.301590788547327	2.2322664408408466e-05
Rv0291	CDS	354498	355883	2.482887693777691e-06	1.3027299113400375	0.0006298753489092368
