Gene	Type	StartPos	EndPos	4.2bNOchina_KLvalue	4.2bNOchina_Hvalue	4.2bNOchina_DFvalue
Rv0032	CDS	34295	36610	7.953196031751375e-07	1.356354793648106	0.00018792163516301308
Rv0033	CDS	36607	36870	0.0	1.360572057007103	0.0
Rv0034	CDS	36867	37262	7.261649614953569e-10	1.3358000903413145	-4.606015704233801e-06
Rv0035	CDS	37259	38947	3.24203441870452e-10	1.3448218259714053	6.074132389621845e-06
Rv0036c	CDS	39056	39829	7.791996257777711e-06	1.3133334384357132	0.001022964806626503
Rv0037c	CDS	39877	41202	1.263707194443242e-10	1.3059203116507296	5.179484687339864e-06
Rv0038	CDS	41304	41912	5.137439917923814e-10	1.3359583471959184	5.663208477058035e-06
Rv0039c	CDS	42004	42351	3.472672286858325e-05	1.2815957846281636	-0.002230955347137187
Rv0040c	CDS	42433	43365	1.9442447651840666e-09	1.319099355528985	-2.1635041935752497e-07
Rv0041	CDS	43562	46471	1.0198184229315288e-06	1.3517864480056905	0.00036508255647488275
Rv0042c	CDS	46581	47207	2.3326629516873254e-10	1.3463336522299643	5.901190739843187e-06
Rv0043c	CDS	47366	48100	9.231010400512218e-11	1.3451444636221803	2.5801126896651816e-06
Rv0044c	CDS	48233	49027	9.970202441422771e-11	1.3297768741985694	6.131448299084852e-08
Rv0045c	CDS	49043	49939	5.876499287182924e-11	1.3263403546757022	-2.436316772991276e-06
Rv0046c	CDS	50021	51124	1.8273449420291854e-10	1.3453440595734851	1.1464441565522954e-06
Rv0047c	CDS	51185	51727	0.0	1.3296308090135032	0.0
Rv0048c	CDS	51828	52697	1.0110848731037514e-06	1.33406756660435	0.00033566416971869684
Rv0049	CDS	52831	53244	0.0	1.3287158712570901	0.0
Rv0050	CDS	53663	55699	2.3177839092447527e-09	1.3493935352378232	1.78471570714267e-05
Rv0051	CDS	55696	57378	6.183361600520243e-10	1.3356904500871531	-9.13003080027508e-06
Rv0052	CDS	57410	57973	0.0	1.332813765952036	0.0
Rv0053	CDS	58192	58482	0.0	1.3565225888971795	0.0
Rv0054	CDS	58586	59080	7.487221398427835e-10	1.3274005727577767	5.709567452105713e-06
Rv0055	CDS	59122	59376	0.0	1.3349917495722383	0.0
Rv0056	CDS	59409	59867	4.271020204171805e-10	1.3550705946644808	5.940102659196533e-07
Rv0057	CDS	59896	60417	2.1680285899883245e-09	1.3584876406444109	7.2165454139128116e-06
Rv0058	CDS	60396	63020	5.584411266745803e-10	1.351800081594698	6.424018852702051e-06
Rv0059	CDS	63200	63892	0.0	1.356405032849162	0.0
Rv0060	CDS	63909	64967	3.7384928486261515e-11	1.3645595702654199	1.0065768530909125e-06
Rv0061c	CDS	65012	65350	5.109145218007427e-09	1.349843497824054	-2.4653210906222522e-05
Rv0062	CDS	65552	66694	1.3345013982757337e-10	1.3171220491233564	4.782884674758847e-06
Rv0063	CDS	66923	68362	5.931627411470686e-10	1.3250744696102925	-5.971303028928787e-06
Rv0063a	CDS	68418	68579	0.0	1.3294326728718524	0.0
Rv0064	CDS	68620	71559	5.284343572720118e-07	1.3477552269319708	-0.00014924583044606532
Rv0064A	CDS	71589	71828	9.913443399511834e-10	1.3323904816296401	-1.097136762723272e-05
Rv0065	CDS	71821	72222	7.484099451282589e-10	1.354023732682737	8.917975140521062e-06
Rv0066c	CDS	72274	74511	2.0329765648696707e-10	1.3526715273054895	2.0077353521386065e-06
Rv0067c	CDS	74629	75198	1.302362286836889e-05	1.3398360603039685	-0.0010845244293911649
Rv0068	CDS	75301	76212	1.4507146040010355e-09	1.3335330912473846	1.3977346397353596e-05
Rv0069c	CDS	76237	77622	1.3762998318789244e-07	1.3385054083082493	0.00011333547009417799
Rv0070c	CDS	77619	78896	9.731598860085455e-10	1.326635864939357	-1.362720486186575e-05
Rv0071	CDS	79486	80193	0.0	1.3421826259358094	0.0
Rv0072	CDS	80624	81673	1.5268619701913622e-10	1.3506133590050635	-1.4219234574786022e-06
Rv0073	CDS	81676	82668	2.984174718445587e-08	1.3503018342095894	3.32717119289061e-05
Rv0074	CDS	82748	83983	3.046862762090541e-11	1.3292657637760663	1.2475721249960436e-06
Rv0075	CDS	83996	85168	4.322609336082639e-06	1.3431565464435833	0.0003218013547530152
Rv0076c	CDS	85183	85572	0.0	1.352927788987131	0.0
Rv0077c	CDS	85636	86466	2.9688433933472425e-09	1.3310449857537083	1.7595236802836478e-05
Rv0078	CDS	86528	87133	2.23809611288317e-07	1.315444432936007	5.2476429377668055e-05
Rv0078A	CDS	87208	87801	1.2648804226245147e-10	1.3606341532264197	-2.0914234948321564e-06
Rv0078B	CDS	87798	88004	4.134641407027573e-09	1.3407613022161942	2.4250520103796802e-05
Rv0079	CDS	88204	89025	6.584013334531846e-10	1.3188227145139335	1.1710113298313285e-05
Rv0080	CDS	89022	89480	2.070966197570412e-05	1.3119358297817196	-0.0017633404572402478
Rv0081	CDS	89575	89919	2.4368797590934577e-08	1.3303049696896507	3.0126397459084853e-05
Rv0082	CDS	89924	90403	6.622670745137782e-10	1.2973469762549992	9.395937652478814e-06
Rv0083	CDS	90400	92322	2.3031901116854492e-07	1.280053856930222	-1.7694464498341222e-05
Rv0084	CDS	92328	93278	4.67119232183677e-10	1.3105009722469805	3.98587825445329e-06
Rv0085	CDS	93289	93951	9.550932267288204e-11	1.3029736457457386	3.037261298854954e-06
Rv0086	CDS	93951	95417	4.754130422668368e-11	1.3041957383836331	3.645615832881255e-06
Rv0087	CDS	95414	96892	1.4523104940877829e-11	1.3264112363020462	3.5626920869002987e-07
Rv0088	CDS	96927	97601	9.065370676353268e-11	1.353620926930987	-2.5337916915169068e-06
Rv0089	CDS	97758	98351	0.0	1.3260659490410696	0.0
Rv0090	CDS	98480	99250	5.481187725919767e-11	1.328626563573174	-1.0034536957470586e-06
Rv0091	CDS	99684	100451	7.338968321946027e-11	1.3379552445322538	2.2833157183876907e-06
Rv0092	CDS	100583	102868	2.833467904750364e-10	1.322847845253023	1.3517335178403478e-06
Rv0093c	CDS	102815	103663	7.725282080706108e-10	1.318723667431928	9.835874934749356e-06
Rv0094c	CDS	103710	104663	1.0868029864941064e-08	1.272633254800759	1.0259766638653911e-05
Rv0095c	CDS	104805	105215	5.919016715649761e-08	1.3592635651701048	7.298775678371561e-05
Rv0096	CDS	105324	106715	3.091624691808903e-07	1.3350462568826462	0.00019826088383401164
Rv0097	CDS	106734	107603	1.829502105366032e-10	1.3643899343333832	5.954326016133216e-07
Rv0098	CDS	107600	108151	0.0	1.3680478593184482	0.0
Rv0099	CDS	108156	109778	0.0	1.353025471773575	0.0
Rv0100	CDS	109783	110019	0.0	1.357854328037945	0.0
Rv0101	CDS	110001	117539	3.9527415784945674e-09	1.3379890695410899	8.905240617695931e-07
Rv0102	CDS	117714	119699	7.45308648131271e-10	1.3293406510200476	4.596921152455469e-06
Rv0103c	CDS	119915	122173	1.5585206913915073e-07	1.3317189757639487	0.00014635489228165266
Rv0104	CDS	122317	123831	1.7602921777437608e-06	1.3442266001081848	0.00031973039470351017
Rv0105c	CDS	123980	124264	1.499443075259066e-08	1.322421612127513	4.84322222343847e-05
Rv0106	CDS	124374	125570	3.383154867364624e-11	1.3299019498644618	2.1528983294993864e-06
Rv0107c	CDS	125643	130541	2.269615424488336e-07	1.3147181973883797	0.00017079496764227375
Rv0108c	CDS	130895	131104	0.0	1.3616939736746185	0.0
Rv0109	CDS	131382	132872	1.9473693213534204e-08	1.265853592540698	4.1953389776250294e-05
Rv0110	CDS	133020	133769	5.870409713892855e-11	1.3210986273301892	-1.126399929163302e-06
Rv0111	CDS	133950	136007	3.337256138102873e-09	1.3311717496527318	1.2806418155208998e-05
Rv0112	CDS	136289	137245	1.2776391611346583e-09	1.3791689621896799	-1.5409107201325156e-06
Rv0113	CDS	137319	137909	0.0	1.373576434314795	0.0
Rv0114	CDS	137941	138513	1.70274948141369e-07	1.35164096050445	-5.294630678287504e-05
Rv0115	CDS	138513	139673	6.740863423004839e-11	1.350244180581087	2.9773191562720847e-06
Rv0115a	CDS	139956	140144	0.0	1.34824366047297	0.0
Rv0116c	CDS	140267	141022	0.0	1.3501749909282261	0.0
Rv0117	CDS	141200	142144	0.0	1.3469075521395482	0.0
Rv0118c	CDS	142128	143876	1.4720662329104073e-06	1.328761172083163	0.00035944362677081676
Rv0119	CDS	144049	145626	9.96724758284273e-10	1.3154706604504356	1.2710343874955399e-05
Rv0120c	CDS	145627	147771	3.377271795557135e-10	1.333697529709259	6.345165311449907e-06
Rv0121c	CDS	147908	148342	0.0	1.3312788886450009	0.0
Rv0122	CDS	148491	148859	0.0	1.3559070838518912	0.0
Rv0123	CDS	148856	149224	0.0	1.353811462577101	0.0
Rv0124	CDS	149533	150996	1.2836595036924692e-08	1.2109954971279009	1.0804149308624167e-05
Rv0125	CDS	151148	152215	6.668512098628732e-07	1.3191266766491143	0.0002714676134952798
Rv0126	CDS	152324	154129	0.0	1.3518548995854118	0.0
Rv0127	CDS	154232	155599	2.2645835207057985e-10	1.3359765413284461	4.544150495944255e-06
Rv0128	CDS	155667	156446	1.0798052337834818e-06	1.3520572533229898	-0.00012107247875764449
Rv0129c	CDS	156578	157600	3.289477024104315e-10	1.3396775916097763	5.382957804611621e-06
Rv0130	CDS	157847	158302	0.0	1.3331766921757773	0.0
Rv0131c	CDS	158315	159658	2.431610468534018e-11	1.339920098167979	1.2601740716489118e-06
Rv0132c	CDS	159700	160782	1.091600088098943e-09	1.3194936385282117	-7.199970898041919e-06
Rv0133	CDS	160869	161474	1.6429624882796645e-09	1.3154063410591483	1.5142159667247412e-06
Rv0134	CDS	161771	162673	5.6612992072047064e-11	1.3212437565624429	-1.5552840175181437e-06
Rv0135c	CDS	162644	163249	1.3045947655498935e-10	1.3398152394666454	3.2520770472665994e-06
Rv0136	CDS	163366	164691	2.655053954470077e-11	1.336240421908372	-1.5874014657191182e-06
Rv0137c	CDS	164712	165260	1.1038342462299511e-10	1.33876816834786	1.1152065433339686e-06
Rv0138	CDS	165323	165826	0.0	1.347512183361984	0.0
Rv0139	CDS	165827	166849	2.987726732683882e-11	1.3225046901525734	-2.6657992763245986e-07
Rv0140	CDS	166910	167290	2.7998947604856994e-10	1.3612895878806541	-2.795669496513664e-06
Rv0141c	CDS	167271	167681	1.1969060742522686e-08	1.3615550125750024	2.0082804693843936e-05
Rv0142	CDS	167711	168637	5.37866973182588e-11	1.2755335682219933	3.0467025851077523e-06
Rv0143c	CDS	168704	170182	1.0092628310864882e-07	1.3231864442400314	9.182942062152533e-05
Rv0144	CDS	170284	171126	8.539966428466883e-08	1.3486564988999141	7.58991737715986e-05
Rv0145	CDS	171215	172168	5.212726916781207e-10	1.3279813541877499	9.773879762808857e-06
Rv0146	CDS	172211	173143	5.2965076768884956e-11	1.3278169994759657	2.346580045886615e-06
Rv0147	CDS	173238	174758	2.061384396512267e-11	1.3443079211044975	1.3124970729139207e-06
Rv0148	CDS	174833	175693	6.247119488378416e-11	1.343684966322115	1.8490579711816224e-06
Rv0149	CDS	175700	176668	2.0581908399819326e-10	1.3393821120038307	5.390093561874476e-06
Rv0150c	CDS	176665	176952	0.0	1.3406907818211535	0.0
Rv0151c	CDS	177543	179309	1.5976522504956847e-07	1.3551032863896748	-0.00011605754778848398
Rv0152c	CDS	179319	180896	2.037224833273399e-10	1.3462877348187896	4.299725211098782e-06
Rv0153c	CDS	181155	181985	4.652493390544521e-09	1.322657732917902	2.640900035721927e-05
Rv0154c	CDS	181987	183198	2.990124814417072e-11	1.3205468921331265	1.3591763036169269e-06
Rv0155	CDS	183622	184722	6.897844517794738e-10	1.3176639388770943	-2.2166403740309093e-06
Rv0156	CDS	184723	185055	4.119959928772232e-10	1.3649693957767606	4.757457544080079e-06
Rv0157	CDS	185052	186479	8.577166754619725e-11	1.342962182177329	-2.614310337989423e-06
Rv0157A	CDS	186495	186623	0.0	1.3528364703499707	0.0
Rv0158	CDS	186785	187429	1.205767707901373e-10	1.3411540096233254	-3.5879372071723203e-06
Rv0159c	CDS	187433	188839	2.5760993893619855e-09	1.351507862147253	9.8684590222331e-06
Rv0160c	CDS	188931	190439	1.9354184921382966e-11	1.346233923746254	1.3912588744391385e-06
Rv0161	CDS	190607	191956	2.9020397196433123e-11	1.3193109491384893	-1.8839690388849917e-06
Rv0162c	CDS	191984	193135	3.6003638959059003e-10	1.3192621506196416	7.768068767843861e-06
Rv0163	CDS	193117	193572	0.0	1.3499514072738645	0.0
Rv0164	CDS	193626	194111	1.3903109047919138e-05	1.3597040329500851	-1.3902897468331954e-05
Rv0165c	CDS	194144	194815	3.1844081149756676e-08	1.3325487378140222	5.4249510412218704e-06
Rv0166	CDS	194993	196657	1.6216144235192687e-06	1.3524790068358092	0.0003228429103288577
Rv0167	CDS	196861	197658	0.0	1.3385742837619317	0.0
Rv0168	CDS	197660	198529	2.87059154224778e-10	1.3355739574326428	-5.350238888590653e-07
Rv0169	CDS	198534	199898	2.4069638132062643e-06	1.3545896849595473	0.00041109672294542543
Rv0170	CDS	199895	200935	1.5594553426367952e-10	1.3657052574478865	-2.2786483256931334e-06
Rv0171	CDS	200932	202479	8.490930736293478e-10	1.3289492073961398	1.089109337493177e-05
Rv0172	CDS	202476	204068	1.6245337737808008e-06	1.3564578541343892	-0.0003363936595704442
Rv0173	CDS	204065	205237	1.318232745184389e-10	1.3510715671225781	2.837850510584161e-06
Rv0174	CDS	205231	206778	1.2244742786382545e-06	1.3567579835027035	-0.0002770152308732565
Rv0175	CDS	206814	207455	0.0	1.3389487039579528	0.0
Rv0176	CDS	207452	208420	4.5653980595972143e-11	1.3361540385164725	2.037501884211146e-06
Rv0177	CDS	208417	208971	0.0	1.365504582692241	0.0
Rv0178	CDS	208938	209672	9.299672143470161e-11	1.3445714703986997	3.0235359357866365e-06
Rv0179c	CDS	209703	210812	0.0	1.3443267946319142	0.0
Rv0180c	CDS	210892	212250	3.586698948954137e-08	1.3464432477538872	5.86050340185551e-05
Rv0181c	CDS	212277	213011	7.874939589314067e-11	1.349716632029317	-2.232303788762824e-06
Rv0182c	CDS	213028	214140	7.092841565747854e-07	1.3346915576178568	-9.980796912217871e-05
Rv0183	CDS	214088	214927	4.6340959836133067e-07	1.3294599439313615	-1.5250494609708731e-05
Rv0184	CDS	214969	215718	1.8047258132369848e-10	1.3024072374580182	1.8765427342581908e-06
Rv0185	CDS	215715	216224	0.0	1.3234783750349974	0.0
Rv0186	CDS	216269	218344	2.27480323006235e-06	1.333323260655009	0.00017015846091988918
Rv0186A	CDS	218390	218551	0.0	1.3503611169120886	0.0
Rv0187	CDS	218705	219367	1.088349965705504e-10	1.3241791417177953	4.048188813721154e-06
Rv0188	CDS	219486	219917	1.8215023933620955e-10	1.344831123693556	9.510167682247328e-07
Rv0189c	CDS	219996	221723	5.2527648897182644e-11	1.3357093450669961	2.4994378997611477e-06
Rv0190	CDS	221871	222161	0.0	1.3406874387608108	0.0
Rv0191	CDS	222289	223530	6.869127489039784e-11	1.3117507711066245	-1.1363083959325948e-06
Rv0192	CDS	223564	224664	6.481914521794252e-08	1.3306129786033294	0.00010478770734201337
Rv0193c	CDS	224724	226571	1.420005258601087e-06	1.3580373956893292	-8.069451049569354e-05
Rv0194	CDS	226878	230462	3.665583392375993e-10	1.3254151942161108	5.120342202791228e-06
Rv0195	CDS	230899	231534	0.0	1.3505783691395938	0.0
Rv0196	CDS	231647	232231	5.563433602695511e-10	1.3196239453206262	-1.164188849989145e-06
Rv0197	CDS	232231	234519	7.241026275250917e-07	1.3320069850298597	-0.00012583001237970182
Rv0198c	CDS	234516	236507	9.592009686532066e-08	1.3473026758116353	9.877881228020913e-05
Rv0199	CDS	236550	237209	0.0	1.3429190459083749	0.0
Rv0200	CDS	237206	237895	1.290564766165403e-09	1.3193172791975463	1.5771069757530842e-05
Rv0201c	CDS	237892	238395	1.8299395332377344e-10	1.3242327702086625	3.970733995994902e-06
Rv0202c	CDS	238392	241292	9.583228099963037e-10	1.3331049427572008	1.151970479323916e-05
Rv0203	CDS	241514	241924	0.0	1.3250969254942566	0.0
Rv0204c	CDS	241976	243214	1.3821038757910742e-10	1.3209608359367069	-4.735274519329646e-06
Rv0205	CDS	243384	244487	4.515981557484672e-06	1.3205938300450395	0.0009711077971271131
Rv0206c	CDS	244484	247318	5.862632601605355e-11	1.3386736514699202	1.4792616278014314e-06
Rv0207c	CDS	247384	248112	0.0	1.342692272545157	0.0
Rv0208c	CDS	248115	248906	0.0	1.3418693344165509	0.0
Rv0209	CDS	249038	250123	3.8202537525622304e-06	1.2994671498232528	0.0006758410012132621
Rv0210	CDS	250120	251598	2.227661488163335e-06	1.303161412205972	-0.0006928602586210308
Rv0211	CDS	251782	253602	2.439319857217015e-10	1.3448935076402033	1.2894975289778898e-06
Rv0212c	CDS	253669	254640	5.041622674895052e-11	1.3362530830062032	2.3359389442756395e-06
Rv0213c	CDS	254637	255950	2.2595525450697096e-10	1.3574077747218272	3.53012273685005e-06
Rv0214	CDS	256064	257677	1.7880141811588146e-11	1.349690963841213	1.2043787204762957e-06
Rv0216	CDS	258913	259926	3.108668877871423e-11	1.3318153792858887	2.6774856654032675e-07
Rv0217c	CDS	259923	260831	8.90288338606382e-07	1.3250943243774755	-0.00032063228049628023
Rv0218	CDS	260924	262252	4.0989795502266446e-08	1.3160205428653504	4.4375033575572154e-05
Rv0219	CDS	262254	262802	1.6447162576316288e-08	1.3274968588471063	3.520911244081493e-05
Rv0220	CDS	262812	264023	7.493689002657788e-10	1.3348375323103263	7.654061699891024e-06
Rv0221	CDS	264067	265476	7.783323985321999e-11	1.3533062975817192	9.806563420755587e-07
Rv0222	CDS	265507	266295	3.8492298237713385e-10	1.334875231598102	7.286795795480305e-06
Rv0223c	CDS	266301	267764	4.2793379950722965e-11	1.345663449431846	2.569445677114146e-06
Rv0224c	CDS	267863	268627	3.5636471551470095e-10	1.3253398180279743	-7.060311745188397e-06
Rv0225	CDS	268663	269817	0.0	1.324876431903749	0.0
Rv0226c	CDS	269834	271564	3.852395145664822e-07	1.2984173222933468	0.00030068061285526415
Rv0227c	CDS	271574	272839	2.603384174904022e-11	1.333278651105958	-1.5005740789941768e-06
Rv0228	CDS	273055	274278	1.9416546148676161e-10	1.296026193730534	5.184706913574644e-06
Rv0229c	CDS	274306	274986	2.433473422769339e-10	1.3562083166701848	1.546809496877355e-06
Rv0230c	CDS	274983	275963	0.0	1.3309300152887715	0.0
Rv0231	CDS	276058	277764	4.4209524929783584e-11	1.3473895051312044	1.8704158023519213e-06
Rv0232	CDS	277899	278588	1.2861154363719152e-09	1.3246230189487487	1.8994595578081253e-06
Rv0233	CDS	278585	279529	1.3415043520481618e-09	1.3401784130240775	-7.764614330774133e-06
Rv0234c	CDS	279605	281140	7.972660309718549e-10	1.3272689849762338	9.285196849062594e-06
Rv0235c	CDS	281166	282614	1.9795776129427622e-11	1.3480320311689211	7.539086560592878e-07
Rv0236c	CDS	282649	286851	4.3432344942750944e-09	1.288960075656059	3.715346539845399e-05
Rv0236A	CDS	286898	287071	0.0	1.3396548972576752	0.0
Rv0237	CDS	287186	288352	1.692379814066669e-08	1.3125590335300417	5.4069970459424965e-05
Rv0238	CDS	288428	289042	1.0487004042936121e-09	1.3475447749811655	-8.70733182006811e-06
Rv0239	CDS	289104	289337	3.6361517130600873e-09	1.3367604196038911	1.9603706422566258e-05
Rv0240	CDS	289345	289782	2.8615672037490825e-07	1.351653330794774	0.00011151563708761136
Rv0241c	CDS	289812	290654	0.0	1.3297794874385094	0.0
Rv0242c	CDS	290665	292029	2.924536529613775e-08	1.3197509496306459	-6.334537715402266e-05
Rv0243	CDS	292171	293493	0.0	1.3204610386980915	0.0
Rv0244c	CDS	293798	295633	5.6738780340737094e-11	1.3444116329331206	-2.233932219097845e-06
Rv0245	CDS	296005	296493	9.63974400303158e-10	1.3452739275093357	1.1595730730118436e-05
Rv0246	CDS	296809	298119	7.076694785723703e-11	1.3541210600225242	-1.0618991496125219e-06
Rv0247c	CDS	298116	298862	0.0	1.365642136661019	0.0
Rv0248c	CDS	298863	300803	3.907789647428217e-10	1.3444144598256966	-6.24749646566114e-06
Rv0249c	CDS	300834	301655	7.176043093082285e-11	1.3671578761992582	1.53059231267072e-06
Rv0250c	CDS	301735	302028	0.0	1.3531767847414096	0.0
Rv0251c	CDS	302173	302652	2.1295437635515668e-10	1.3286843090461846	5.3329672412560924e-06
Rv0252	CDS	302866	305427	3.753689720165099e-08	1.3350815696175868	5.3432035801992406e-05
Rv0253	CDS	305453	305809	0.0	1.3352197816716966	0.0
Rv0254c	CDS	305825	306349	0.0	1.3210893472651586	0.0
Rv0255c	CDS	306374	307858	5.745880438112749e-10	1.3058334140425316	-1.9433431469040308e-06
Rv0256c	CDS	307877	309547	2.7323354689912094e-10	1.3222713042957044	7.770624067704457e-06
Rv0257	CDS	309699	310073	2.8048728709539894e-05	1.3512028000647234	-0.0007408343262068628
Rv0258c	CDS	310294	310749	3.455295659871016e-06	1.3521163061987074	0.0005061536924897414
Rv0259c	CDS	310774	311517	2.8777580873828867e-09	1.3328799109219425	-1.5856250478563094e-05
Rv0260c	CDS	311514	312659	2.1586364917780543e-09	1.3415080566610773	1.060606161823463e-05
Rv0261c	CDS	312759	314168	8.590916311668195e-10	1.3399704653836404	2.9003701645935465e-06
Rv0262c	CDS	314309	314854	8.165205178656265e-10	1.3189582154552575	1.3686616728514345e-05
Rv0263c	CDS	314864	315766	3.0732483224937823e-10	1.3168924761170906	3.433625774762472e-06
Rv0264c	CDS	315783	316415	6.129536322951878e-10	1.311143267196392	-5.004633282845727e-06
Rv0265c	CDS	316511	317503	1.9580570498334282e-10	1.3320954239062455	4.371016758764057e-06
Rv0266c	CDS	317525	321154	8.63920485760783e-07	1.3140383910163516	0.00025496727328783164
Rv0267	CDS	321331	322722	2.1207202660633584e-11	1.3267756759450529	8.985793318316837e-07
Rv0268c	CDS	322764	323273	0.0	1.3554529446311043	0.0
Rv0269c	CDS	323338	324531	0.0	1.3084075300339042	0.0
Rv0270	CDS	324567	326249	1.433920301163738e-06	1.3419716967591673	0.0002040255426302151
Rv0271c	CDS	326266	328461	1.4674022758009997e-07	1.3292553819823185	0.00012602114852389157
Rv0272c	CDS	328575	329708	3.7818748133133795e-11	1.3387615498450018	-1.7327229683283818e-06
Rv0273c	CDS	329705	330325	0.0	1.3550011692907935	0.0
Rv0274	CDS	330422	331003	1.3416467936622212e-10	1.3561551620877996	2.849564722129383e-06
Rv0275c	CDS	330933	331658	6.5366438149472295e-06	1.3184551367425943	-0.0010378087372780453
Rv0276	CDS	331748	332668	6.005218544657964e-11	1.3265118409088859	2.590362120635792e-06
Rv0277c	CDS	332708	333136	7.406698196432693e-07	1.3497818238984542	-0.0002469626689211024
Rv0278c	CDS	333437	336310	2.0269333800282396e-07	1.2242014390270917	0.00021389151945455653
Rv0279c	CDS	336560	339073	5.028007566687531e-07	1.2177567281850172	4.548063835252414e-05
Rv0280	CDS	339364	340974	2.3992783580450983e-06	1.3090513618498825	-0.0002684525706205254
Rv0281	CDS	340998	341906	0.0	1.3277456959724407	0.0
Rv0282	CDS	342130	344025	2.9694274367164653e-06	1.3412533606124935	0.0002906355188338483
Rv0283	CDS	344022	345638	2.3078221556005474e-09	1.3187402607416354	1.818767719158343e-05
Rv0284	CDS	345635	349627	1.5640699846386497e-10	1.335999706920001	3.027269966038304e-06
Rv0285	CDS	349624	349932	0.0	1.2636725085351306	0.0
Rv0286	CDS	349935	351476	3.6730679127683352e-06	1.3165836939181168	0.00017555047987072303
Rv0287	CDS	351525	351818	2.030268009267644e-09	1.329061709508538	8.828241166269901e-06
Rv0288	CDS	351848	352138	0.0	1.3453358110544096	0.0
Rv0289	CDS	352149	353036	1.207527966506916e-10	1.3296522353277869	-5.583172635881262e-07
Rv0290	CDS	353083	354501	0.0	1.3015907864960068	0.0
Rv0291	CDS	354498	355883	2.30182357008335e-06	1.3027297302759138	0.000608483796091186
Rv0292	CDS	355880	356875	3.020522720831309e-10	1.3133041781741404	5.149945433047254e-06
Rv0293c	CDS	356862	358064	1.6773710198592084e-10	1.3440529331670996	4.841693835189176e-06
Rv0294	CDS	358171	358956	4.7462097585437846e-09	1.3326132706308507	1.7286425273321804e-05
Rv0295c	CDS	358945	359748	2.0958771607126891e-07	1.3345854947852858	-0.00013687165997455786
Rv0296c	CDS	359758	361155	2.5262680836135587e-11	1.3396251663784173	1.3137770011883987e-06
Rv0297	CDS	361334	363109	3.0920724869432092e-09	1.2241783707558225	3.2908244477630744e-05
Rv0298	CDS	363252	363479	0.0	1.341169111188281	0.0
Rv0299	CDS	363476	363778	0.0	1.3157601986882688	0.0
Rv0300	CDS	363826	364047	0.0	1.3468472915438956	0.0
Rv0301	CDS	364044	364469	0.0	1.3539344839460532	0.0
Rv0302	CDS	364605	365237	0.0	1.3357049415019662	0.0
